##########################################################################################################################################################################################################################
Database Name: EPFL_LISP_BXD_Liver_Polar_Metabolites_CD_Jun14_Log2_**
GeneNetwork Accession Number: GN714
For more information regarding this data set please visit: http://www.genenetwork.org/webqtl/main.py?FormID=sharinginfo&GN_AccessionId=714

Z-Score.
In general, the array data that we enter in GeneNetwork have been log transformed and then z-score normalized, but instead of leaving the mean at 0 and the standard deviation of 1 unit,
the data is rescaled to a mean of 8 units with a standard deviation of 2 units (what we call 2Z + 8 normalized data).

Usage Conditions and Limitations:
Data sets that have been incorporated in the GeneNetwork belong to individuals, groups, and companies listed in the Status and Contacts page. 
Many data sets are still being generated and analyzed, and the data contributors have often agreed to remove protection and let other investigators view, share, and analyze data. 
We request that those of you analyzing these data and preparing publications do your best of acknowledge the original data sources. 
Please contact Robert W. Williams at rwilliams@uthsc.edu or by telephone at (901) 448-7050 if you have questions regarding the status of data and what group to acknowledge. 
If your work relies heavily on the GeneNetwork please consider acknowledging the grants that provide substantial support for this project (see bottom of all web pages). 
Please review the annotated References for relevant citations. For further details on use and citation of data in papers please read the section below on Academic, educational, and not-for-profit institutional use.

The Standard Disclaimers of Warranties.
The University of Tennessee (UT), its trustees, directors, officers, employees, and affiliates make no representation and extend no warranties of any kind,
either express or implied, including warranties of correctness, accuracy, fitness for a particular purpose, merchantability, validity of patent rights claims (issued or pending),
the absence of latent or other defects, whether or not discoverable. In no event shall UT or its trustees, directors, officers, employees, or affiliates be liable for incidental or consequential damages of any kind,
including economic damage or injury to property and lost profits, regardless of whether UT, its trustees, directors, officers, employees, and affiliates shall be advised, shall have other reason to know,
or in fact shall know of the possibility of the foregoing.

Disclaimer.
The data providers make no guarantees or warranties as to the accuracy or completeness of or results to be obtained from accessing and using information from The GeneNetwork.
We will not be liable to any user or anyone else for any inaccuracy, error or omission, regardless of cause, in the data contained in The GeneNetwork databases or any resulting damages.
In addition, the data providers do not warrant that the databases will meet your requirements, be uninterrupted, or error-free.
Data providers expressly exclude and disclaim all expressed and implied warranties of merchantability and fitness for a particular purpose.
Data providers shall not be responsible for any damage or loss of any kind arising out of or related to your use of the databases,including without limitation data loss or corruption, regardless of whether such liability is based in tort, contract, or otherwise.

##########################################################################################################################################################################################################################

ProbeSet	Gene Symbol	Chr	Mb	Gene Id	Strand Gene	Blat Mb Start	Blat Mb End	Description	Aliases	Blat Sequence	UniGeneId	OMIM	HomoloGeneID	C57BL/6J	DBA/2J	BXD68	BXD43	BXD44	BXD45	BXD48	BXD49	BXD50	BXD51	BXD55	BXD56	BXD60	BXD61	BXD62	BXD63	BXD64	BXD65	BXD66	BXD69	BXD70	BXD71	BXD73	BXD75	BXD79	BXD73a	BXD81	BXD83	BXD84	BXD85	BXD87	BXD89	BXD90	BXD65b	BXD48a	BXD98	BXD95	BXD99	BXD100	BXD101	BXD103	
313.0451047_MZ	5'-Phosphoribosyl-N-formylglycinamide	Un	1.0	None	None	None	None	5'-Phosphoribosyl-N-formylglycineamide (also known as FGAR or N-Formyl-GAR) is a substrate for Phosphoribosylformylglycinamidine synthase. It is involved in aminoimidazole ribonucleotide biosynthesis and plays a vital role in purine metabolism as well as the conversion of glutamine to glutamate. 5'-Phosphoribosyl-N-formylglycineamide is described as a glycinamide ribonucleotide having a phosphate group at the 5-position and a formyl group on the glycine nitrogen.	C8H15N2O9P		None	None	None	12.655	12.453	12.572	12.334	12.302	12.846	12.299	12.395	12.365	12.278	12.188	12.308	12.018	12.385	12.349	12.875	12.12	12.187	12.259	12.537	12.214	12.649	12.302	12.577	12.286	12.349	12.402	12.425	12.343	12.283	12.727	12.408	12.79	12.263	12.3	12.28	12.008	12.391	12.295	12.32	12.439	
313.2378371_MZ	12_13-DHOME	Un	1.0	None	None	None	None	12,13-DHOME is the epoxide hydrolase metabolite of the leukotoxin12,13-EpOME. 12,13-EpOMEs act as a protoxin, with the corresponding epoxide hydrolase 12,13-DiHOME specifically exerting toxicity. Both the EpOME and the DiHOME are shown to have neutrophil chemotactic activity. 12,13-DiHOME suppress the neutrophil respiratory burst by a mechanism distinct from that of respiratory burst inhibitors such as cyclosporin H or lipoxin A4,which inhibit multiple aspects of neutrophil activation. 12,13-DHOME is a derivative of linoleic acid diol that have been reported to be toxic in human's tissue preparations. 12,13-DHOME is a naturally occurring proliferator-activated receptor (PPAR) gamma2 ligand, which stimulates adipocytes and inhibits osteoblast differentiation. (PMID: 17435320, 12021203, 12127265).	C18H34O4, 9_10-DHOME		None	None	None	14.798	14.815	13.85	14.915	14.893	14.689	14.896	15.213	14.1	14.623	14.704	14.596	13.666	15.076	14.79	15.058	15.639	13.93	14.323	14.043	14.793	13.965	14.693	14.546	14.705	14.273	14.219	14.975	14.405	13.94	14.862	14.419	14.326	13.828	14.28	14.148	14.203	14.029	14.488	13.927	13.914	
315.2533388_MZ	Monoacylglyceride(0:0/15:0/0:0)	Un	1.0	None	None	None	None	MG(0:0/15:0/0:0) is a monoacylglyceride. A monoglyceride, more correctly known as a monoacylglycerol, is a glyceride consisting of one fatty acid chain covalently bonded to a glycerol molecule through an ester linkage. Monoacylglycerol can be broadly divided into two groups; 1-monoacylglycerols (or 3-monoacylglycerols) and 2-monoacylglycerols, depending on the position of the ester bond on the glycerol moiety. Normally the 1-/3-isomers are not distinguished from each other and are termed 'alpha-monoacylglycerols', while the 2-isomers are beta-monoacylglycerols. Monoacylglycerols are formed biochemically via release of a fatty acid from diacylglycerol by diacylglycerol lipase or hormone sensitive lipase. Monoacylglycerols are broken down by monoacylglycerol lipase. They tend to be minor components only of most plant and animal tissues, and indeed would not be expected to accumulate because their strong detergent properties would have a disruptive effect on membranes. 2-Monoacylglycerols are a major end product of the intestinal digestion of dietary fats in animals via the enzyme pancreatic lipase. They are taken up directly by the intestinal cells and converted to triacylglycerols via the monoacylglycerol pathway before being transported in lymph to the liver. Mono- and Diglycerides are commonly added to commercial food products in small quantities. They act as emulsifiers, helping to mix ingredients such as oil and water that would not otherwise blend well.	C18H36O4, Monoacylglyceride(15:0/0:0/0:0)		None	None	None	14.092	13.968	12.469	14.292	12.952	13.29	13.058	13.034	12.513	13.495	13.39	12.644	12.259	14.354	13.082	12.823	13.392	12.603	13.114	12.358	14.02	12.289	13.612	13.98	12.861	13.721	12.428	12.746	12.552	12.379	14.279	12.519	13.024	12.54	13.938	12.436	12.909	12.354	13.976	12.624	12.217	
317.0580974_MZ	Melanin	Un	1.0	None	None	None	None	Dermal melanin is produced by melanocytes, which are found in the stratum basale of the epidermis. Although human beings generally possess a similar concentration of melanocytes in their skin, the melanocytes in some individuals and races more frequently or less frequently express the melanin-producing genes, thereby conferring a greater or lesser concentration of skin melanin. Some individual animals and humans have no or very little melanin in their bodies, which is a condition known as albinism. Higher eumelanin levels also can be a disadvantage, however, beyond a higher disposition toward vitamin D deficiency. Dark skin is a complicating factor in the laser removal of port-wine stains. Effective in treating fair skin, lasers generally are less successful in removing port-wine stains in Asians and people of African descent. Higher concentrations of melanin in darker-skinned individuals simply diffuse and absorb the laser radiation, inhibiting light absorption by the targeted tissue. Melanin similarly can complicate laser treatment of other dermatological conditions in people with darker skin. Under the microscope melanin is brown, non-refractile and finely granular with individual granules having a diameter of less than 800 nanometers. This differentiates melanin from common blood breakdown pigments which are larger, chunky and refractile and range in color from green to yellow or red-brown. In heavily pigmented lesions, dense aggregates of melanin can obscure histologic detail. A dilute solution of potassium permanganate is an effective melanin bleach. Pigments causing darkness in skin, hair, feathers, etc. They are irregular polymeric structures and are divided into three groups: allomelanins in the plant kingdom and eumelanins and phaeomelanins in the animal kingdom. Because melanin is an aggregate of smaller component molecules, there are a number of different types of melanin with differing proportions and bonding patterns of these component molecules. Both pheomelanin and eumelanin are found in human skin and hair, but eumelanin is the most abundant melanin in humans, as well as the form most likely to be deficient in albinism. Freckles and moles are formed where there is a localized concentration of melanin in the skin. They are highly associated with pale skin. Melanin is a biopolymer and a neuropeptide. In the early 1970s, John McGinness, Peter Corry, and Peter Proctor reported that melanin is a high-conductivity organic semiconductor (Science, vol 183, 853-855 (1974)). Studies revealed that melanin acted as a voltage-controlled solid-state threshold switch. Further, it emitting a flash of light electroluminescence when it switched.	C18H10N2O4		None	None	None	16.349	16.029	16.383	15.526	15.363	16.173	15.462	15.787	15.627	15.86	15.621	16.119	14.927	16.082	15.544	15.846	15.442	15.177	15.483	15.626	15.944	15.951	15.201	16.046	15.322	15.544	16.183	15.699	15.979	15.821	15.971	15.852	16.009	15.669	15.357	15.897	15.558	16.316	15.502	16.402	16.268	
317.1750355_MZ	Ubiquinone Q2	Un	1.0	None	None	None	None	Ubiquinone-2 is a member of the chemical class known as Polyprenylbenzoquinones. These are compounds containing a polyisoprene chain attached to a quinone at the second ring position. Ubiquione-2 has just 2 isoprene units. Normally in humans it has 10. Ubiquinone-2 is an intermediate in the synthesis of Ubiquionone 10. Ubiquionone is involved in cellular respiration. It is fat-soluble and is therefore mobile in cellular membranes; it plays a unique role in the electron transport chain (ETC). In the inner bacterial membrane, electrons from NADH and succinate pass through the ETC to the oxygen, which is then reduced to water. The transfer of electrons through ETC results in the pumping of H+ across the membrane creating a proton gradient across the membrane, which is used by ATP synthase (located on the membrane) to generate ATP.	C19H26O4		None	None	None	14.583	14.716	13.785	13.204	12.963	14.13	13.223	13.204	12.557	12.915	13.692	13.484	12.608	13.542	12.902	14.054	13.394	14.26	12.581	14.079	12.917	12.695	12.868	12.912	13.007	12.63	12.822	13.516	13.17	13.03	14.079	13.16	12.494	13.396	12.739	12.981	12.839	13.036	12.838	12.729	12.443	
317.2114055_MZ	5-HEPE	Un	1.0	None	None	None	None	5-HEPE is a major eicosanoid formed from eicosapentaenoic acid (EPA). 5-HEPE is produced in human neutrophils. The eicosanoids are a diverse family of molecules that have powerful effects on cell function. They are best known as intercellular messengers, having autocrine and paracrine effects following their secretion from the cells that synthesize them. The diversity of possible products that can be synthesized from eicosatrienoic acid is due, in part to the variety of enzymes that can act on it. Studies have placed many, but not all, of these enzymes at or inside the nucleus. In some cases, the nuclear import or export of eicosatrienoic acid-processing enzymes is highly regulated. Furthermore, nuclear receptors that are activated by specific eicosanoids are known to exist. (PMID: 8847485, 15896193).	C20H30O3, Leukotriene A4, 12-HEPE, 14,15-EpETE, 15-HEPE, 15-KETE, 17,18-EpETE, 5-KETE, 12-KETE		None	None	None	13.605	14.308	13.632	14.757	15.053	14.421	14.716	13.976	14.431	13.949	14.144	14.677	12.483	14.683	14.219	14.792	13.587	12.851	13.993	13.957	14.554	14.164	14.343	14.13	14.691	14.199	14.303	14.442	14.169	13.974	14.069	14.642	13.71	13.215	13.486	14.687	13.819	13.898	14.26	13.745	14.857	
317.2473804_MZ	Allopregnanolone	Un	1.0	None	None	None	None	Allopregnanolone is a neuroactive metabolite of progesterone and a barbiturate-like modulator of central gamma-aminobutyric acid receptors that modify a range of behaviors, including the stress response. is a steroid created in the body when progesterone, the female sex hormone, is metabolized. Typically, THP (allopregnanolone) is released in the brain in response to stress, and quiets the neural system within 30 minutes of escalation. This steroid hormone has recently been found to be responsible for the extreme mood swings found in teenagers. In adults and pre-pubescent chlidren THP normally helps soothe the activity of brain cells by binding to GABA receptors that inhibit accelerating electrical activity. However, in pubescent teenagers THP actually becomes a GABA receptor antagonist. GABA (gamma-aminobutyric acid) is the primary inhibitory neurotransmitter in the brain with most sedatives (tranquilizers, anesthetics and alcohol) acting on the GABA receptor.	C21H34O2, Alloepipregnanolone, 3a-Hydroxy-5b-pregnane-20-one, Epimetendiol, Epipregnanolone		None	None	None	11.322	11.474	11.161	11.545	11.659	11.437	11.655	11.68	11.382	11.592	11.644	11.649	11.432	11.647	11.338	11.752	11.53	11.731	11.206	11.528	11.253	11.209	11.519	11.187	11.67	11.354	11.378	11.439	11.838	11.188	11.682	11.578	11.319	11.286	11.374	11.702	11.692	11.329	11.329	10.954	11.321	
319.2274040_MZ	5,6-Epoxy-8,11,14-eicosatrienoic acid	Un	1.0	None	None	None	None	5,6-Epoxy-8,11,14-eicosatrienoic acid is an Epoxyeicosatrienoic acid (EET), a metabolite of arachidonic acid. The epoxyeicosatrienoic acids (EETs) are endogenous lipid mediators produced by P450 epoxygenases and metabolized through multiple pathways including soluble epoxide hydrolase (sEH). The cytochrome P-450 (P450) monooxygenase pathway includes enzymes of the CYP1A, CYP2B, CYP2C, CYP2E, and CYP2J subfamilies that catalyze the formation of four regioisomeric products, 5,6-, 8,9-, 11,12-, and 14,15-epoxyeicosatrienoic acid. EETs are produced in brain and perform important biological functions, including protection from ischemic injury. Both light flashes and direct glial stimulation produce vasodilatation mediated by EETs. EETs may be involved in the development of hypertension and endothelial dysfunction in DOCA-salt rats, but not in excessive collagen deposition or electrophysiological abnormalities. EETs have vasodilator and natriuretic effect. Blockade of EET formation is associated with salt-sensitive hypertension. (PMID: 17494091, 17468203, 17434916, 17406062, 17361113).	C20H32O3, 8,9-Epoxyeicosatrienoic acid, 14R,15S-EpETrE, Hydroxyeicosatetraenoic acid, 15(S)-HETE, 14,15-Epoxy-5,8,11-eicosatrienoic acid, 11,12-Epoxyeicosatrienoic acid, 8-HETE, 16(R)-HETE, 11(R)-HETE, 20-Hydroxyeicosatetraenoic acid, 12-HETE, 18-Hydroxyarachidonic acid, 9-HETE, 11,12-EpETrE, 5-HETE, 19(S)-HETE		None	None	None	13.649	13.797	13.185	14.319	14.031	14.145	14.434	13.844	14.345	13.753	13.912	13.977	13.49	14.134	13.729	14.139	13.942	13.769	13.543	13.871	14.014	13.329	13.99	13.746	14.019	13.591	13.668	13.705	13.569	13.598	14.204	13.805	13.388	13.752	13.635	13.873	13.761	13.426	13.942	13.557	13.938	
320.2591420_MZ	Alpha-Linolenoyl ethanolamide	Un	1.0	None	None	None	None		C20H35NO2		None	None	None	10.567	10.505	10.35	10.763	10.562	10.137	10.438	10.932	10.438	10.509	10.858	10.63	10.572	10.603	10.01	10.666	10.452	10.937	10.22	10.586	10.298	10.194	10.574	9.984	10.488	10.567	10.558	10.319	10.793	10.485	10.785	10.443	10.414	10.095	10.457	10.575	10.847	10.29	10.605	10.009	10.406	
321.0040401_MZ	Ellagic acid	Un	1.0	None	None	None	None	Ellagic acid is a Polyphenol compound found in numerous fruits and vegetables, including, raspberries; strawberries; cranberries; walnuts; pecans; pomegranates; and other plant foods. It is often regarded as an antioxidant. Ellagic Acid Clinical Tests on cultured human cells also show that Ellagic acid prevents the destruction of the p53 gene by cancer cells. Additional studies suggest that one of the mechanisms by which Ellagic acid inhibits mutagenesis and carcinogenesis is by forming adducts with DNA, thus masking binding sites to be occupied by the mutagen or carcinogen.	C14H6O8		None	None	None	14.473	14.539	14.469	14.549	14.538	14.503	14.589	14.544	14.544	14.563	14.544	14.546	14.473	14.571	14.495	14.721	14.541	14.523	14.471	14.497	14.451	14.482	14.504	14.419	14.549	14.486	14.574	14.512	14.557	14.458	14.521	14.649	14.631	14.537	14.512	14.59	14.537	14.429	14.441	14.454	14.459	
321.0165792_MZ	Cyanidin	Un	1.0	None	None	None	None	Cyanidin, or flavan-3-ol, is a natural organic compound which is classified as a flavonoid and an anthocyanin. It is a pigment found in many redberries including but not limited to bilberry, blackberry, blueberry, cherry, cranberry, elderberry, hawthorn, loganberry and raspberry. It can also be found in other fruits such as apples and plums. The highest concentrations of cyanidin are found in the skin of the fruit. Recently, the biosynthesis of cyanidin 3-O-glucoside in Escherichia coli was demonstrated. -- Wikipedia.	C15H11ClO6		None	None	None	13.646	13.633	13.688	13.646	13.599	13.595	13.666	13.614	13.696	13.726	13.534	13.718	13.72	13.562	13.578	13.817	13.515	13.749	13.592	13.675	13.533	13.67	13.587	13.526	13.549	13.617	13.691	13.568	13.768	13.657	13.759	13.753	13.662	13.606	13.628	13.712	13.57	13.636	13.576	13.67	13.701	
322.0450008_MZ	Cytidine monophosphate	Un	1.0	None	None	None	None	Cytidine monophosphate, also known as 5'-cytidylic acid and abbreviated CMP, is a nucleotide. It is an ester of phosphoric acid with the nucleoside cytidine. CMP consists of the phosphate group, the pentose sugar ribose, and the nucleobase cytosine. Cytidine monophosphate (CMP) is derived from cytidine triphosphate (CTP) with subsequent loss of two phosphates. The synthesis of the pyrimidines CTP and UTP occurs in the cytoplasm and starts with the formation of carbamoyl phosphate from glutamine and CO2. Next, aspartate undergoes a condensation reaction with carbamoyl-phosphate to form orotic acid. In a subsequent cyclization reaction, the enzyme Aspartate carbamoyltransferase forms N-carbamoyl-aspartate which is converted into dihydroorotic acid by Dihydroorotase. The latter is converted to orotate by Dihydroorotate oxidase. Orotate is covalently linked with a phosphorylated ribosyl unit with Orotate phosphoribosyltransferase (aka PRPP transferase) catalyzing reaction, yielding orotidine monophosphate (OMP). Orotidine-5-phosphate is decarboxylated by Orotidine-5'-phosphate decarboxylase to form uridine monophosphate (UMP). UMP is phosphorylated by two kinases to uridine triphosphate (UTP) via two sequential reactions with ATP. CTP is subsequently formed by amination of UTP by the catalytic activity of CTP synthetase. Cytosine monophosphate (CMP) and uridine monophosphate (UMP) have been prescribed for the treatment of neuromuscular affections in humans. Patients treated with CMP/UMP recover from altered neurological functions. Additionally, the administration of CMP/UMP appears to favour the entry of glucose in the muscle and CMP/UMP may be important in maintaining the level of hepatic glycogen constant during exercise. [PMID:18663991].	C9H14N3O8P, Cytidine 2'-phosphate		None	None	None	16.889	16.755	16.67	16.304	16.074	15.996	16.326	16.213	16.024	16.268	16.0	16.481	16.141	16.497	16.151	16.241	16.107	16.56	16.106	16.31	16.417	16.296	16.011	16.59	16.213	15.885	16.153	16.53	15.911	16.164	16.597	16.328	16.06	16.198	16.088	16.03	15.628	16.453	16.116	16.426	16.411	
323.0279275_MZ	Uridine 5'-monophosphate	Un	1.0	None	None	None	None	5'-Uridylic acid. A uracil nucleotide containing one phosphate group esterified to the sugar moiety in the 2', 3' or 5' position. Uridine 5'-monophosphate is a nucleotide that is found in RNA. It is an ester of phosphoric acid with the nucleoside uridine. UMP consists of the phosphate group, the pentose sugar ribose, and the nucleobase uracil. (Wikipedia).	C9H13N2O9P, Pseudouridine 5'-phosphate, Uridine 2'-phosphate		None	None	None	19.344	19.48	20.017	20.134	20.041	18.978	20.107	19.844	19.475	19.626	19.422	19.631	19.5	19.039	20.066	18.72	19.675	19.476	19.649	19.516	19.692	19.636	19.574	19.475	19.506	19.687	19.92	19.962	19.598	19.96	19.034	19.038	18.968	19.681	19.697	19.457	18.533	19.993	19.604	19.782	19.995	
323.1274791_MZ	DHAP(10:0)	Un	1.0	None	None	None	None	DHAP(10:0) is the decanoyl derivative of Dihydroxyacetone phosphate. It is also known as an alkyl-DHAP. This compound is formed by decanoic acid reacting with DHAP. Alkyl-DHAPs are intermediates in the synthesis of ether phospholipids. The initial steps of ether phospholipid biosynthesis take place in peroxisomes. Alkyl-dihydroxyacetonephosphate synthase is the peroxisomal enzyme that actually introduces the ether linkage. Levels of Alkyl-DHAP have been found to be strongly reduced in human fibroblasts derived from Zellweger syndrome and rhizomelic chondrodysplasia punctata patients. Four other enzymes are known to be involved in the metabolism of acyl-DHAP and alkyl-DHAP. These include: acyl-DHAP/alkyl-DHAP oxidoreductase, DHAP acyltransferase, alkyl-DHAP phosphohydrolase, and a dinitrofluorobenzene-insensitive acyl-DHAP acylhydrolase. Dihydroxyacetone phosphate (DHAP) is a biochemical compound primarily involved in the glycolysis metabolic pathway. DHAP is also the product of the dehydrogenation of L-glycerol-3-phosphate which is part of the entry of glycerol (sourced from triglycerides) into the glycolytic pathway. Conversely, reduction of glycolysis-derived DHAP to L-glycerol-3-phosphate provides adipose cells with the activated glycerol backbone they require to synthesize new triglycerides. Both reactions are catalyzed by the enzyme glycerol 3-phosphate dehydrogenase with NAD+/NADH as cofactor. DHAP may be referred to as glycerone phosphate in older texts.	C13H25O7P		None	None	None	13.249	12.431	12.468	12.979	12.881	12.71	12.686	12.697	11.911	12.556	12.391	12.444	11.663	12.864	12.826	12.965	12.68	12.045	12.335	12.58	12.706	12.33	12.639	12.466	12.392	12.231	12.296	12.689	12.367	12.285	12.942	12.489	12.649	12.236	12.325	11.928	12.049	12.494	12.367	12.589	12.283	
323.2039252_MZ	3a,16b-Dihydroxyandrostenone	Un	1.0	None	None	None	None	3a,16b-Dihydroxyandrostenone is an unusual steroid found in the urinary excretion of a subject having a virilizing malignant adrenocortical tumor; apparent 21-steroid hydroxylase deficiency is discussed at the light of these results and of the hormonogenesis enzymatic induction of the tumour biopsy. (PMID 198067).	C19H28O3, 16-Oxoandrostenediol, 3a,16a-Dihydroxyandrostenone, 16a-Hydroxydehydroisoandrosterone, 3a,16-Dihydroxyandrostenone, 7a-Hydroxytestosterone, 7a-Hydroxydehydroepiandrosterone, 7b-Hydroxydehydroepiandrosterone, 11-Ketoetiocholanolone, 6beta-Hydroxytestosterone, 19-Hydroxytestosterone, 11beta-Hydroxytestosterone, 2beta-Hydroxytestosterone		None	None	None	11.74	11.793	11.327	12.005	11.76	11.867	12.04	12.046	11.353	11.621	11.815	11.678	11.247	12.107	11.698	11.961	12.13	11.724	11.237	11.855	11.783	11.349	11.856	11.68	11.754	11.363	11.319	12.035	11.541	11.438	12.06	11.687	11.311	11.325	11.507	11.509	11.466	11.334	11.52	11.293	10.949	
324.0927807_MZ	N-Glycolylneuraminic acid	Un	1.0	None	None	None	None	N-Glycolylneuraminic acid (Neu5Gc) is a widely expressed sialic acid found in most mammalian cells. Although humans are genetically deficient in producing Neu5Gc, small amounts are present in human cells and biofluids. Humans cannot synthesize Neu5Gc because the human gene CMAH is irreversibly mutated, though it is found in apes. This loss of the CMAH gene was estimated to have occurred two to three million years ago, just before the emergence of the genus Homo. A dietary origin of Neu5Gc was suggested by human volunteer studies. These trace amounts of Neu5Gc were determined to come from the consumption of animals in the human diet (i.e. red meats such as lamb, pork, and beef). Neu5Gc can also be found in dairy products, but to a lesser extent. Neu5Gc is not found in poultry and is found in only trace amounts in fish (Wikipedia).	C11H19NO10		None	None	None	16.739	15.76	16.176	15.738	15.566	16.593	16.671	16.004	15.437	16.617	16.297	17.084	15.851	16.151	15.65	15.529	15.916	15.776	15.4	15.393	15.74	16.359	16.135	16.408	15.974	16.27	15.404	15.94	15.974	16.18	15.552	15.893	15.886	15.299	16.231	15.052	15.373	15.594	16.074	16.185	16.46	
324.1713886_MZ	5'-Carboxy-gama-chromanol	Un	1.0	None	None	None	None		C18H25O4		None	None	None	12.035	12.046	11.645	12.142	12.26	12.206	12.179	11.882	11.703	11.897	11.996	12.313	11.612	12.34	12.066	12.088	11.863	11.539	11.709	11.763	12.083	11.863	12.163	12.246	11.904	11.984	12.118	12.193	11.941	11.699	11.995	11.739	11.751	11.478	11.763	11.808	11.772	11.932	11.842	11.738	11.933	
324.2913362_MZ	N-Oleoylethanolamine	Un	1.0	None	None	None	None	N-Oleoylethanolamine (NOE or OEA) is a N-acylethanolamine. N-acylethanolamines (NAEs) constitute a class of lipid compounds naturally present in both animal and plant membranes as constituents of the membrane-bound phospholipid, N-acylphosphatidylethanolamine (NAPE). NAPE is composed of a third fatty acid moiety linked to the amino head group of the commonly occurring membrane phospholipid, phosphatidylethanolamine. NAEs are released from NAPE by phospholipase D-type hydrolases in response to a variety of stimuli. Transient NAE release and accumulation has been attributed a variety of biological activities, including neurotransmission, membrane protection, and immunomodulation in animals. N-oleoylethanolamine is an inhibitor of the sphingolipid signaling pathway, via specific ceramidase inhibition (ceramidase converts ceramide to sphingosine). N-oleoylethanolamine blocks the effects of TNF- and arachidonic acid on intracellular Ca concentration. (PMID: 12692337, 12056855, 12560208, 11997249). N-oleoyl ethanolamine is related to the endocannabinoid anandamide. Endocannabinoids signal through cannabinoid receptors (also stimulated by the active ingredient of cannabis) but although related in structure, synthesis and degradation to anandamide, NOE cannot be considered an endocannabinoid as it does not activate the cannabinoid receptors. Most of the reported responses to NOE can be attributed to activation of peroxisome proliferator-activated receptor-alpha (PPAR-alpha). Administration of NOE inhibits body weight gain in rats. In adipocytes and hepatocytes, NOE inhibits mitogenic and metabolic signaling by the insulin receptor and produces glucose intolerance. It also inhibits gastric emptying, which might act together with the sensory neuronal signals to achieve satiety. NOE is permanently elevated in diabetic obese patients. NOE also reduces visceral and inflammatory responses through a PPAR-alpha-activation independent mechanism (PMID: 17449181). NOE has been shown to be an antagonist of TRVP1 (the transient receptor potential vanilloid type 1 receptor). Overall, NOE has beneficial effects on health by inducing food intake control, lipid beta-oxidation, body weight loss and analgesic effects (PMID: 18704536).	C20H39NO2		None	None	None	10.755	10.911	10.342	11.037	10.837	10.437	10.99	11.115	10.404	10.906	11.133	11.241	10.982	11.137	10.521	10.803	11.17	11.403	10.677	11.089	10.706	10.41	10.78	10.313	10.862	10.686	10.845	10.627	10.719	10.475	10.99	10.715	10.305	10.938	10.587	10.81	11.203	10.582	10.658	10.499	10.463	
325.0220285_MZ	Uridine 2',3'-cyclic phosphate	Un	1.0	None	None	None	None	Uridine 2',3'-cyclic phosphate is a cyclic nucleotide. A cyclic nucleotide is any nucleotide in which the phosphate group is bonded to two of the sugar's hydroxyl groups, forming a cyclical or ring structure. Cyclic phosphates are commonly found at the 3' end of mRNAs and other small RNAs. Uridine 2',3'-cyclic phosphate is a substrate for the enzyme 2',3'-cyclic nucleotide-3'-phosphodiesterase (CNPase, EC 3.1.4.37) which hydrolyses it to Uridine 2'-phosphate. CNPase is a unique RNase in that it only cleaves nucleoside 2',3'-cyclic phosphates and not the RNA internucleotide linkage, like other RNases such as RNase A and RNase T1.	C9H11N2O8P		None	None	None	13.988	13.872	14.121	13.87	14.165	13.88	13.869	13.861	14.19	13.888	14.165	14.182	13.696	13.959	13.952	13.881	13.878	13.778	13.97	13.572	13.937	14.221	14.013	14.118	13.776	14.313	13.914	14.108	13.948	14.202	13.901	13.773	13.933	13.724	14.127	14.362	13.43	14.334	14.281	14.126	14.313	
326.1668426_MZ	Zolpidem	Un	1.0	None	None	None	None	Zolpidem (sold under the brand names Ambien, Ambien CR, Stilnox, and Sublinox) is a prescription medication used for the treatment of insomnia, as well as some brain disorders. It is a short-acting nonbenzodiazepine hypnotic of the imidazopyridine class that potentiates gamma-aminobutyric acid (GABA), an inhibitory neurotransmitter, by binding to GABAA receptors at the same location as benzodiazepines. It works quickly (usually within 15 minutes) and has a short half-life (two to three hours). Zolpidem has not adequately demonstrated effectiveness in maintaining sleep (unless delivered in a controlled-release form); however, it is effective in initiating sleep. Some users take zolpidem recreationally for these side effects. However, it may be less common than benzodiazepine abuse. Zolpidem can become addictive if taken for extended periods of time, due to dependence on its ability to put one to sleep or to the euphoria it can sometimes produce.	C19H21N3O		None	None	None	12.414	12.318	12.19	12.213	12.331	12.855	12.505	12.497	12.268	12.166	12.221	12.358	11.895	12.258	12.504	13.174	12.802	12.039	11.986	12.136	12.263	12.317	12.381	12.455	12.295	12.097	12.05	12.392	12.086	12.291	12.443	12.59	12.954	11.76	12.129	12.041	11.786	12.203	12.43	12.123	12.26	
327.2327102_MZ	Docosahexaenoic acid	Un	1.0	None	None	None	None	Docosahexaenoic acid (DHA) is an omega-3 essential fatty acid. Chemically, DHA is a carboxylic acid with a 22-carbon chain and six cis double bonds with the first double bond is located at the third carbon from the omega end. DHA is most often found in fish oil. It is a major fatty acid in sperm and brain phospholipids, especially in the retina. Dietary DHA can reduce the level of blood triglycerides in humans, which may reduce the risk of heart disease. (wikipedia).	C22H32O2		None	None	None	17.213	18.164	16.386	18.735	18.027	17.89	19.185	18.757	18.368	17.049	17.752	18.131	19.08	18.18	17.391	17.695	19.355	19.026	17.594	18.635	17.78	17.286	18.338	16.91	18.262	17.128	17.619	16.545	18.056	17.395	18.887	18.816	16.383	19.241	17.521	17.815	18.21	16.399	19.077	17.991	18.6	
