##########################################################################################################################################################################################################################
Database Name: EPFL_LISP_BXD_Liver_Polar_Metabolites_HFD_Jun14_Log2_**
GeneNetwork Accession Number: GN713
For more information regarding this data set please visit: http://www.genenetwork.org/webqtl/main.py?FormID=sharinginfo&GN_AccessionId=713

Z-Score.
In general, the array data that we enter in GeneNetwork have been log transformed and then z-score normalized, but instead of leaving the mean at 0 and the standard deviation of 1 unit,
the data is rescaled to a mean of 8 units with a standard deviation of 2 units (what we call 2Z + 8 normalized data).

Usage Conditions and Limitations:
Data sets that have been incorporated in the GeneNetwork belong to individuals, groups, and companies listed in the Status and Contacts page. 
Many data sets are still being generated and analyzed, and the data contributors have often agreed to remove protection and let other investigators view, share, and analyze data. 
We request that those of you analyzing these data and preparing publications do your best of acknowledge the original data sources. 
Please contact Robert W. Williams at rwilliams@uthsc.edu or by telephone at (901) 448-7050 if you have questions regarding the status of data and what group to acknowledge. 
If your work relies heavily on the GeneNetwork please consider acknowledging the grants that provide substantial support for this project (see bottom of all web pages). 
Please review the annotated References for relevant citations. For further details on use and citation of data in papers please read the section below on Academic, educational, and not-for-profit institutional use.

The Standard Disclaimers of Warranties.
The University of Tennessee (UT), its trustees, directors, officers, employees, and affiliates make no representation and extend no warranties of any kind,
either express or implied, including warranties of correctness, accuracy, fitness for a particular purpose, merchantability, validity of patent rights claims (issued or pending),
the absence of latent or other defects, whether or not discoverable. In no event shall UT or its trustees, directors, officers, employees, or affiliates be liable for incidental or consequential damages of any kind,
including economic damage or injury to property and lost profits, regardless of whether UT, its trustees, directors, officers, employees, and affiliates shall be advised, shall have other reason to know,
or in fact shall know of the possibility of the foregoing.

Disclaimer.
The data providers make no guarantees or warranties as to the accuracy or completeness of or results to be obtained from accessing and using information from The GeneNetwork.
We will not be liable to any user or anyone else for any inaccuracy, error or omission, regardless of cause, in the data contained in The GeneNetwork databases or any resulting damages.
In addition, the data providers do not warrant that the databases will meet your requirements, be uninterrupted, or error-free.
Data providers expressly exclude and disclaim all expressed and implied warranties of merchantability and fitness for a particular purpose.
Data providers shall not be responsible for any damage or loss of any kind arising out of or related to your use of the databases,including without limitation data loss or corruption, regardless of whether such liability is based in tort, contract, or otherwise.

##########################################################################################################################################################################################################################

ProbeSet	Gene Symbol	Chr	Mb	Gene Id	Strand Gene	Blat Mb Start	Blat Mb End	Description	Aliases	Blat Sequence	UniGeneId	OMIM	HomoloGeneID	C57BL/6J	DBA/2J	BXD68	BXD43	BXD44	BXD45	BXD48	BXD49	BXD50	BXD51	BXD55	BXD56	BXD61	BXD62	BXD63	BXD65	BXD66	BXD69	BXD70	BXD71	BXD73	BXD75	BXD79	BXD73a	BXD81	BXD83	BXD84	BXD85	BXD87	BXD89	BXD90	BXD48a	BXD98	BXD95	BXD99	BXD100	BXD101	BXD103	BXD97	
650.4304299_MZ	Phosphatidylethanolamine (14:1(9Z)/14:1(9Z))	Un	1.0	None	None	None	None	PE(14:1(9Z)/14:1(9Z)) is a phosphatidylethanolamine (PE or GPEtn). It is a glycerophospholipid in which a phosphorylethanolamine moiety occupies a glycerol substitution site. As is the case with diacylglycerols, glycerophosphoethanolamines can have many different combinations of fatty acids of varying lengths and saturation attached at the C-1 and C-2 positions. Fatty acids containing 16, 18 and 20 carbons are the most common. PE(14:1(9Z)/14:1(9Z)), in particular, consists of two chains of myristoleic acid at the C-1 and C-2 positions. The myristoleic acid moieties are derived from milk fats. Phospholipids, are ubiquitous in nature and are key components of the lipid bilayer of cells, as well as being involved in metabolism and signaling.While most phospholipids have a saturated fatty acid on C-1 and an unsaturated fatty acid on C-2 of the glycerol backbone, the fatty acid distribution at the C-1 and C-2 positions of glycerol within phospholipids is continually in flux, owing to phospholipid degradation and the continuous phospholipid remodeling that occurs while these molecules are in membranes. PEs are neutral zwitterions at physiological pH. They mostly have palmitic or stearic acid on carbon 1 and a long chain unsaturated fatty acid (e.g. 18:2, 20:4 and 22:6) on carbon 2. PE synthesis can occur via two pathways. The first requires that ethanolamine be activated by phosphorylation and then coupled to CDP. The ethanolamine is then transferred from CDP-ethanolamine to phosphatidic acid to yield PE. The second involves the decarboxylation of PS.	C33H62NO8P		None	None	None	7.908	8.858	8.976	8.043	8.953	11.067	8.423	8.698	8.12	9.483	10.579	8.583	5.149	10.383	9.276	6.328	7.059	7.748	8.719	9.267	7.154	8.272	9.565	9.049	8.607	7.662	7.1	9.815	10.031	9.554	6.759	8.012	8.478	9.363	8.517	8.898	9.419	8.213	
651.2213264_MZ	3'-Sialyllactosamine	Un	1.0	None	None	None	None	<p>3'-Sialyllactosamine is an oligosaccharide found in human milk. Oligosaccharides in human milk inhibit enteric pathogens <i>in vitro</i> and <i>in vivo</i>. (PMID:10683228)</p>. <p><i>Helicobacter pylori</i>-induced activation of neutrophils occurs by lectinophagocytosis, the recognition of sialylated glycoconjugates (3'-sialyllactosamine was the most efficient inhibitor) on the neutrophil cell surface by a bacterial adhesin leads to phagocytosis and an oxidative burst with the production of reactive oxygen metabolites. (PMID: 11087709)</p>.	C23H40N2O18		None	None	None	10.555	10.531	11.534	9.994	10.764	11.228	10.94	10.415	11.195	10.876	10.538	11.289	11.088	11.208	9.808	10.491	11.242	10.842	10.907	11.081	10.723	10.699	11.069	11.182	10.766	11.53	10.485	11.504	11.236	10.905	9.898	10.956	10.961	10.856	11.18	10.654	10.957	10.894	10.438	
655.5641390_MZ	Diglyceride (15:0/22:1(13Z)/0:0)	Un	1.0	None	None	None	None	DG(15:0/22:1(13Z)/0:0) is a diglyceride, or a diacylglycerol (DAG). It is a glyceride consisting of two fatty acid chains covalently bonded to a glycerol molecule through ester linkages. Diacylglycerols can have many different combinations of fatty acids attached at both the C-1 and C-2 positions. DG(15:0/22:1(13Z)/0:0), in particular, consists of one chain of pentadecanoic acid at the C-1 position and one chain of erucic acid at the C-2 position. The pentadecanoic acid moiety is derived from dairy products and milk fat, while the erucic acid moiety is derived from seed oils and avocados. Mono- and diacylglycerols are common food additives used to blend together certain ingredients, such as oil and water, which would not otherwise blend well. Dacylglycerols are often found in bakery products, beverages, ice cream, chewing gum, shortening, whipped toppings, margarine, and confections. Synthesis of diacylglycerol begins with glycerol-3-phosphate, which is derived primarily from dihydroxyacetone phosphate, a product of glycolysis (usually in the cytoplasm of liver or adipose tissue cells). Glycerol-3-phosphate is first acylated with acyl-coenzyme A (acyl-CoA) to form lysophosphatidic acid, which is then acylated with another molecule of acyl-CoA to yield phosphatidic acid. Phosphatidic acid is then de-phosphorylated to form diacylglycerol.Diacylglycerols are precursors to triacylglycerols (triglyceride), which are formed by the addition of a third fatty acid to the diacylglycerol under the catalysis of diglyceride acyltransferase. Since diacylglycerols are synthesized via phosphatidic acid, they will usually contain a saturated fatty acid at the C-1 position on the glycerol moiety and an unsaturated fatty acid at the C-2 position.	C40H76O5		None	None	None	14.484	14.571	13.808	14.712	14.482	14.31	14.733	13.825	13.459	13.645	14.094	13.889	13.655	13.272	15.205	14.99	13.701	14.214	13.49	12.001	14.001	14.198	14.027	13.372	13.372	13.9	14.843	13.402	14.344	14.081	15.464	13.9	13.057	13.872	13.359	14.269	12.711	13.568	13.608	
657.4984714_MZ	Diglyceride (16:1(9Z)/22:6(4Z_7Z_10Z_13Z_16Z_19Z)/0:0)	Un	1.0	None	None	None	None	DG(16:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0) is a diglyceride, or a diacylglycerol (DAG). It is a glyceride consisting of two fatty acid chains covalently bonded to a glycerol molecule through ester linkages. Diacylglycerols can have many different combinations of fatty acids attached at both the C-1 and C-2 positions. DG(16:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0), in particular, consists of one chain of palmitoleic acid at the C-1 position and one chain of docosahexaenoic acid at the C-2 position. The palmitoleic acid moiety is derived from animal fats and vegetable oils, while the docosahexaenoic acid moiety is derived from fish oils. Mono- and diacylglycerols are common food additives used to blend together certain ingredients, such as oil and water, which would not otherwise blend well. Dacylglycerols are often found in bakery products, beverages, ice cream, chewing gum, shortening, whipped toppings, margarine, and confections. Synthesis of diacylglycerol begins with glycerol-3-phosphate, which is derived primarily from dihydroxyacetone phosphate, a product of glycolysis (usually in the cytoplasm of liver or adipose tissue cells). Glycerol-3-phosphate is first acylated with acyl-coenzyme A (acyl-CoA) to form lysophosphatidic acid, which is then acylated with another molecule of acyl-CoA to yield phosphatidic acid. Phosphatidic acid is then de-phosphorylated to form diacylglycerol.Diacylglycerols are precursors to triacylglycerols (triglyceride), which are formed by the addition of a third fatty acid to the diacylglycerol under the catalysis of diglyceride acyltransferase. Since diacylglycerols are synthesized via phosphatidic acid, they will usually contain a saturated fatty acid at the C-1 position on the glycerol moiety and an unsaturated fatty acid at the C-2 position.	C41H66O5		None	None	None	14.843	12.917	13.184	13.849	15.165	13.64	15.087	15.194	13.814	14.092	14.181	13.289	15.524	13.05	13.241	16.043	13.032	14.871	13.591	13.695	13.694	14.835	14.325	13.897	14.114	13.844	15.081	13.975	13.294	14.021	14.579	15.628	14.872	13.226	13.729	15.075	14.236	13.338	13.772	
659.5046020_MZ	Diglyceride (16:0/22:6(4Z_7Z_10Z_13Z_16Z_19Z)/0:0)	Un	1.0	None	None	None	None	DG(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0) is a diglyceride, or a diacylglycerol (DAG). It is a glyceride consisting of two fatty acid chains covalently bonded to a glycerol molecule through ester linkages. Diacylglycerols can have many different combinations of fatty acids attached at both the C-1 and C-2 positions. DG(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0), in particular, consists of one chain of palmitic acid at the C-1 position and one chain of docosahexaenoic acid at the C-2 position. The palmitic acid moiety is derived from fish oils, milk fats, vegetable oils and animal fats, while the docosahexaenoic acid moiety is derived from fish oils. Mono- and diacylglycerols are common food additives used to blend together certain ingredients, such as oil and water, which would not otherwise blend well. Dacylglycerols are often found in bakery products, beverages, ice cream, chewing gum, shortening, whipped toppings, margarine, and confections. Synthesis of diacylglycerol begins with glycerol-3-phosphate, which is derived primarily from dihydroxyacetone phosphate, a product of glycolysis (usually in the cytoplasm of liver or adipose tissue cells). Glycerol-3-phosphate is first acylated with acyl-coenzyme A (acyl-CoA) to form lysophosphatidic acid, which is then acylated with another molecule of acyl-CoA to yield phosphatidic acid. Phosphatidic acid is then de-phosphorylated to form diacylglycerol.Diacylglycerols are precursors to triacylglycerols (triglyceride), which are formed by the addition of a third fatty acid to the diacylglycerol under the catalysis of diglyceride acyltransferase. Since diacylglycerols are synthesized via phosphatidic acid, they will usually contain a saturated fatty acid at the C-1 position on the glycerol moiety and an unsaturated fatty acid at the C-2 position.	C41H68O5		None	None	None	17.773	15.243	15.423	15.236	17.001	15.258	17.431	18.478	15.917	15.592	16.438	15.573	16.463	14.909	15.044	19.852	15.067	17.283	15.888	15.043	15.461	18.065	15.781	16.798	15.569	15.43	18.124	16.138	15.932	16.231	15.694	18.086	16.899	15.467	14.826	17.049	16.336	16.16	16.652	
660.2985369_MZ	S-(11-OH-9-deoxy-delta9_12-PGD2)-glutathione	Un	1.0	None	None	None	None		C30H47N3O10S		None	None	None	12.929	12.29	12.71	12.112	12.795	12.103	12.889	12.559	12.364	12.333	12.74	12.398	12.067	12.238	11.758	12.045	11.947	12.445	12.51	12.136	12.382	12.457	12.261	12.393	12.232	12.058	12.607	11.949	12.439	12.68	12.295	12.843	12.417	12.015	11.695	12.253	11.82	12.37	11.633	
661.5175643_MZ	Phosphatidic Acid with formula C37H75O7P	Un	1.0	None	None	None	None	2-octadecanoyl-1-hexadecyl-sn-glycero-3-phosphate is an intermediate in ether lipid metabolism. 2-octadecanoyl-1-hexadecyl-sn-glycero-3-phosphate is converted from 1-octadecyl-glycerone-3-phosphate via 1-acylglycerol-3-phosphate O-acyltransferase. (EC: 2.3.1.51). Ether lipids are lipids in which one or more of the carbon atoms on glycerol is bonded to an alkyl chain via an ether linkage, as opposed to the usual ester linkage. Ether lipids are called plasmalogens (1-O-1'-alkenyl-2-acylglycerophospholipids) if these are glycerol-containing phospholipids with an unsaturated O-(1-alkenyl) (vinyl ether) group at the first position on the glycerol chain. Plasmalogens as well as some 1-O-alkyl lipids are ubiquitous and sometimes major parts of the cell membranes in mammals and anaerobic bacteria. In archaea, ether lipids are the major polar lipids in the cell envelope and their abundance is one of the major characteristics that separate this group of prokaryotes from the bacteria. In these cells, diphytanylglycerolipids or bipolar macrocyclic tetraethers can form covalently linked bilayers.	C37H75O7P		None	None	None	15.965	14.174	14.562	14.259	15.562	14.613	15.971	16.597	15.004	14.498	14.93	15.01	15.542	13.975	13.711	17.476	14.124	16.398	14.756	14.487	14.523	16.255	14.723	15.32	14.775	14.261	16.326	14.762	14.498	14.753	14.342	16.538	16.04	14.301	13.705	15.721	15.252	15.153	15.144	
662.9716431_MZ	Phosphatidylinositol-3_4_5-trisphosphate	Un	1.0	None	None	None	None		C12H24O22P4		None	None	None	13.149	13.156	13.091	13.311	13.216	13.165	13.305	13.17	13.03	13.084	13.289	12.982	13.111	13.238	13.706	13.208	13.057	13.07	13.062	12.963	13.096	13.083	13.053	13.128	12.937	13.046	13.154	13.024	13.158	13.259	13.523	13.124	12.881	12.968	13.147	13.161	12.885	13.004	12.903	
665.2139302_MZ	Glycogen	Un	1.0	None	None	None	None	Glycogen is a highly-branched polymer of about 30,000 glucose residues and has a molecular weight between 106 and 107 daltons (4.8 million approx.). Most of Glc units are linked by alpha-1,4 glycosidic bonds, approximately 1 in 12 Glc residues also makes -1,6 glycosidic bond with a second Glc which results in the creation of a branch. Glycogen only has one reducing end and a large number of non-reducing ends with a free hydroxyl group at carbon 4. The glycogen granules contain both glycogen and the enzymes of glycogen synthesis (glycogenesis) and degradation (glycogenolysis). The enzymes are nested between the outer branches of the glycogen molecules and act on the non-reducing ends. Therefore, the many non-reducing end-branches of glycogen facilitate its rapid synthesis and breakdown. In hypoglycemia caused by excessive insulin, liver glycogen levels are high, but the high insulin level prevents the glycogenolysis necessary to maintain normal blood sugar levels. Glucagon is a common treatment for this type of hypoglycemia. Glycogen is a polysaccharide that is the principal storage form of glucose (Glc) in animal and human cells. Glycogen is found in the form of granules in the cytosol in many cell types. Hepatocytes (liver cells) have the highest concentration of it - up to 8% of the fresh weight in well fed state, or 100 to 120 g in an adult - giving liver a distinctive, 'starchy taste'. In the muscles, glycogen is found in a much lower concentration (1% of the muscle mass), but the total amount exceeds that in liver. Small amounts of glycogen are found in the kidneys, and even smaller amounts in certain glial cells in the brain and white blood cells.	C24H42O21, Maltotetraose, Stachyose		None	None	None	15.956	16.201	15.356	15.247	15.314	16.574	15.486	15.166	16.077	17.076	16.379	16.216	16.051	17.086	16.153	16.168	17.447	16.036	16.276	16.289	16.696	16.023	15.442	16.484	15.732	17.641	16.144	17.493	17.327	17.048	15.55	16.362	15.401	15.518	16.782	17.392	15.673	16.044	15.458	
665.5490548_MZ	Diglyceride (16:1(9Z)/22:2(13Z,16Z)/0:0)	Un	1.0	None	None	None	None	DG(16:1(9Z)/22:2(13Z,16Z)/0:0) is a diglyceride, or a diacylglycerol (DAG). It is a glyceride consisting of two fatty acid chains covalently bonded to a glycerol molecule through ester linkages. Diacylglycerols can have many different combinations of fatty acids attached at both the C-1 and C-2 positions. DG(16:1(9Z)/22:2(13Z,16Z)/0:0), in particular, consists of one chain of palmitoleic acid at the C-1 position and one chain of docosadienoic acid at the C-2 position. The palmitoleic acid moiety is derived from animal fats and vegetable oils, while the docosadienoic acid moiety is derived from animal fats. Mono- and diacylglycerols are common food additives used to blend together certain ingredients, such as oil and water, which would not otherwise blend well. Dacylglycerols are often found in bakery products, beverages, ice cream, chewing gum, shortening, whipped toppings, margarine, and confections. Synthesis of diacylglycerol begins with glycerol-3-phosphate, which is derived primarily from dihydroxyacetone phosphate, a product of glycolysis (usually in the cytoplasm of liver or adipose tissue cells). Glycerol-3-phosphate is first acylated with acyl-coenzyme A (acyl-CoA) to form lysophosphatidic acid, which is then acylated with another molecule of acyl-CoA to yield phosphatidic acid. Phosphatidic acid is then de-phosphorylated to form diacylglycerol.Diacylglycerols are precursors to triacylglycerols (triglyceride), which are formed by the addition of a third fatty acid to the diacylglycerol under the catalysis of diglyceride acyltransferase. Since diacylglycerols are synthesized via phosphatidic acid, they will usually contain a saturated fatty acid at the C-1 position on the glycerol moiety and an unsaturated fatty acid at the C-2 position.	C41H74O5		None	None	None	13.971	12.497	12.475	11.925	13.993	12.507	14.035	14.681	12.937	12.377	13.034	13.121	14.959	11.957	11.951	14.969	11.878	14.001	13.054	13.096	12.802	14.182	13.429	13.045	12.937	12.934	14.392	13.128	12.386	13.24	12.211	14.645	14.695	12.472	11.913	13.911	13.743	12.937	13.247	
665.6059869_MZ	Diglyceride (15:0/24:0/0:0)	Un	1.0	None	None	None	None	DG(15:0/24:0/0:0) is a diglyceride, or a diacylglycerol (DAG). It is a glyceride consisting of two fatty acid chains covalently bonded to a glycerol molecule through ester linkages. Diacylglycerols can have many different combinations of fatty acids attached at both the C-1 and C-2 positions. DG(15:0/24:0/0:0), in particular, consists of one chain of pentadecanoic acid at the C-1 position and one chain of lignoceric acid at the C-2 position. The pentadecanoic acid moiety is derived from dairy products and milk fat, while the lignoceric acid moiety is derived from groundnut oil. Mono- and diacylglycerols are common food additives used to blend together certain ingredients, such as oil and water, which would not otherwise blend well. Dacylglycerols are often found in bakery products, beverages, ice cream, chewing gum, shortening, whipped toppings, margarine, and confections. Synthesis of diacylglycerol begins with glycerol-3-phosphate, which is derived primarily from dihydroxyacetone phosphate, a product of glycolysis (usually in the cytoplasm of liver or adipose tissue cells). Glycerol-3-phosphate is first acylated with acyl-coenzyme A (acyl-CoA) to form lysophosphatidic acid, which is then acylated with another molecule of acyl-CoA to yield phosphatidic acid. Phosphatidic acid is then de-phosphorylated to form diacylglycerol.Diacylglycerols are precursors to triacylglycerols (triglyceride), which are formed by the addition of a third fatty acid to the diacylglycerol under the catalysis of diglyceride acyltransferase. Since diacylglycerols are synthesized via phosphatidic acid, they will usually contain a saturated fatty acid at the C-1 position on the glycerol moiety and an unsaturated fatty acid at the C-2 position.	C42H82O5		None	None	None	11.852	10.174	11.266	11.136	11.88	8.847	11.783	11.841	11.745	10.51	11.117	10.365	11.686	10.858	9.594	12.34	10.603	11.694	10.712	11.185	11.166	11.503	11.953	11.201	11.08	11.402	11.691	10.244	10.151	10.443	11.357	11.706	11.307	11.509	9.409	11.427	11.325	11.74	10.996	
668.6337057_MZ	N-Lignoceroylsphingosine	Un	1.0	None	None	None	None	Ceramide (N-acyl sphingosine) is known as an important precursor common to the biosynthesis of glycosphingolipids and sphingomyelin. Naturally occurring ceramide is composed of various molecular species resulting from a combination of C16 and 26 fatty acids and sphingosine (sphingenine). The N-acyl chain is thought to be mainly introduced by the acylation of sphinganine, and the resultant dihydroceramide (N-acyl sphinganine) is desaturated to form ceramide. The hydrolysis of sphingolipids also yields ceramide and may further lead to the generation of sphingosine and sphingosine phosphate. Recent studies have established the existence of a sphingomyelin cycle or a sphingomyelin pathway that operates in response to various agonists and stresses. Ceramide, is thought to act as a second messenger in the intracellular signaling pathway to apoptosis, cell cycle arrest, cell differentiation, cell propagation, or induction of cytokine synthesis.	C42H83NO3, Ceramide (d18:1/24:0), Ceramide (d18:0/24:1(15Z))		None	None	None	13.847	13.926	14.289	13.782	13.646	12.556	14.697	13.72	13.752	12.828	13.788	14.583	13.587	12.932	12.365	14.531	13.589	13.927	13.28	13.183	13.498	14.168	13.989	13.673	13.542	13.783	14.261	12.551	13.246	13.816	13.244	13.585	13.715	13.602	11.75	13.36	13.703	14.112	13.974	
669.5768775_MZ	Diglyceride (14:0/24:1(15Z)/0:0)	Un	1.0	None	None	None	None	DG(14:0/24:1(15Z)/0:0) is a diglyceride, or a diacylglycerol (DAG). It is a glyceride consisting of two fatty acid chains covalently bonded to a glycerol molecule through ester linkages. Diacylglycerols can have many different combinations of fatty acids attached at both the C-1 and C-2 positions. DG(14:0/24:1(15Z)/0:0), in particular, consists of one chain of myristic acid at the C-1 position and one chain of nervonic acid at the C-2 position. The myristic acid moiety is derived from nutmeg and butter, while the nervonic acid moiety is derived from fish oils. Mono- and diacylglycerols are common food additives used to blend together certain ingredients, such as oil and water, which would not otherwise blend well. Dacylglycerols are often found in bakery products, beverages, ice cream, chewing gum, shortening, whipped toppings, margarine, and confections. Synthesis of diacylglycerol begins with glycerol-3-phosphate, which is derived primarily from dihydroxyacetone phosphate, a product of glycolysis (usually in the cytoplasm of liver or adipose tissue cells). Glycerol-3-phosphate is first acylated with acyl-coenzyme A (acyl-CoA) to form lysophosphatidic acid, which is then acylated with another molecule of acyl-CoA to yield phosphatidic acid. Phosphatidic acid is then de-phosphorylated to form diacylglycerol.Diacylglycerols are precursors to triacylglycerols (triglyceride), which are formed by the addition of a third fatty acid to the diacylglycerol under the catalysis of diglyceride acyltransferase. Since diacylglycerols are synthesized via phosphatidic acid, they will usually contain a saturated fatty acid at the C-1 position on the glycerol moiety and an unsaturated fatty acid at the C-2 position.	C41H78O5		None	None	None	13.276	12.637	12.35	13.579	13.168	12.576	13.593	12.493	12.69	12.598	12.637	12.702	13.242	12.313	13.195	13.799	12.225	13.337	12.312	11.887	13.032	13.154	13.12	12.623	11.995	13.16	13.544	11.865	12.351	12.58	14.05	13.179	12.341	12.248	11.207	13.195	12.46	11.992	12.173	
671.6156508_MZ	Cholesterol Ester with formula	Un	1.0	None	None	None	None	CE(18:0) is a cholesterol fatty acid ester or simply a cholesterol ester (CE). Cholesterol esters are cholesterol molecules with long-chain fatty acids linked to the hydroxyl group. They are much less polar than free cholesterol and appear to be the preferred form for transport in plasma and for storage. Cholesterol esters do not contribute to membranes but are packed into intracellular lipid particles or lipoprotein particles. Because of the mechanism of synthesis, plasma cholesterol esters tend to contain relatively high proportions of C18 fatty acids. Cholesterol esters are major constituents of the adrenal glands and they also accumulate in the fatty lesions of atherosclerotic plaques. Cholesterol esters are also major constituents of the lipoprotein particles carried in blood (HDL, LDL, VLDL). The cholesterol esters in high-density lipoproteins (HDL) are synthesized largely by transfer of fatty acids to cholesterol from position sn-2 (or C-2) of phosphatidylcholine catalyzed by the enzyme lecithin cholesterol acyl transferase (LCAT). The enzyme also promotes the transfer of cholesterol from cells to HDL. As cholesterol esters accumulate in the lipoprotein core, cholesterol is removed from its surface thus promoting the flow of cholesterol from cell membranes into HDL. This in turn leads to morphological changes in HDL, which grow and become spherical. Subsequently, cholesterol esters are transferred to the other lipoprotein fractions LDL and VLDL, a reaction catalyzed by cholesteryl ester transfer protein. Another enzyme, acyl-CoA:cholesterol acyltransferase (ACAT) synthesizes cholesterol esters from CoA esters of fatty acids and cholesterol. Cholesterol ester hydrolases liberate cholesterol and free fatty acids when required for membrane and lipoprotein formation, and they also provide cholesterol for hormone synthesis in adrenal cells.	C45H80O2		None	None	None	10.36	10.36	10.054	11.711	9.932	9.855	11.905	8.217	9.621	10.528	9.968	11.114	9.195	10.104	13.225	11.044	9.86	10.491	9.162	8.712	9.746	10.302	10.848	10.208	9.108	10.669	11.248	8.025	9.202	9.997	12.969	9.725	9.006	9.79	7.339	10.091	8.956	10.361	9.647	
672.4944577_MZ	Phosphatidylethanolamine (14:0/P-18:1(11Z))	Un	1.0	None	None	None	None		C37H72NO7P		None	None	None	11.114	10.92	10.549	11.067	11.16	10.621	11.504	11.314	10.791	10.567	11.399	11.379	11.067	10.498	11.031	12.071	10.371	11.422	10.843	10.071	10.83	11.177	10.874	10.719	10.787	11.022	11.725	10.371	10.962	11.239	11.92	11.629	10.692	10.26	9.941	11.07	10.808	10.878	10.631	
672.5451634_MZ	Ceramide Phosphated with formula C38H76NO6P	Un	1.0	None	None	None	None	CerP(d18:1/20:0) is a ceramide 1-phosphate belonging to the sphingolipid class of molecules. Ceramides are amides of fatty acids with long-chain di- or trihydroxy bases, the commonest in animals being sphingosine and in plants phytosphingosine. The acyl group of ceramides is generally a long-chain saturated or monounsaturated fatty acid. The most frequent fatty acids found in animal ceramides are 18:0, 24:0 and 24:1(n-9). Ceramide 1-phosphates are produced by phosphorylation of ceramide by a specific ceramide kinase. Ceramide-1-phosphate was shown to be a specific and potent inducer of arachidonic acid and prostanoid synthesis in cells through the translocation and activation of the cytoplasmic phospholipase A2.	C38H76NO6P		None	None	None	8.009	8.212	7.96	9.072	9.494	6.548	9.689	8.251	6.722	6.316	7.967	8.138	7.8	8.115	9.792	9.22	8.235	10.06	8.462	7.646	7.069	6.942	6.204	4.24	7.611	8.547	9.802	8.364	8.471	9.547	7.12	8.455	7.949	8.344	8.103	8.691	7.448	
673.4789204_MZ	Phosphatidic acid (16:0/18:1(11Z))	Un	1.0	None	None	None	None	PA(16:0/18:1(11Z)) is a phosphatidic acid. It is a glycerophospholipid in which a phosphate moiety occupies a glycerol substitution site. As is the case with diacylglycerols, phosphatidic acids can have many different combinations of fatty acids of varying lengths and saturation attached at the C-1 and C-2 positions. Fatty acids containing 16, 18 and 20 carbons are the most common. PA(16:0/18:1(11Z)), in particular, consists of one chain of palmitic acid at the C-1 position and one chain of vaccenic acid at the C-2 position. The palmitic acid moiety is derived from fish oils, milk fats, vegetable oils and animal fats, while the vaccenic acid moiety is derived from butter fat and animal fat. Phosphatidic acids are quite rare but are extremely important as intermediates in the biosynthesis of triacylglycerols and phospholipids. Indeed, the concentration of phosphatidic acids is often over-estimated in tissues and biofluids as it can arise by inadvertent enzymatic hydrolysis during inappropriate storage or extraction conditions during analysis. The main biosynthetic route of phosphatidic acid in animal tissues involves sequential acylation of alpha-glycerophosphate by acyl-CoA derivatives of fatty acids. PAs are biologically active lipids that can stimulate a large range of responses in many different cell types, such as platelet aggregation, smooth muscle contraction, in vivo vasoactive effects, chemotaxis, expression of adhesion molecules, increased tight junction permeability of endothelial cells, induction of stress fibres, modulation of cardiac contractility, and many others. Diacylglycerols (DAGs) can be converted to PAs by DAG kinases and indirect evidence supports the notion that PAs alter the excitability of neurons. Phospholipase Ds (PLDs), which catalyze the conversion of glycerolphospholipids, particularly phosphatidylcholine, to PAs and the conversion of N-arachidonoyl-phosphatidylethanolamine (NAPE) to anandamide and PAs are activated by several inflammatory mediators including bradykinin, ATP and glutamate. PAs activate downstream signaling pathways such as PKCs and mitogen-activated protein kinases (MAPKs), which are linked to an increase in sensitivity of sensory neurons either during inflammation or in chronic pain models. Circumstantial evidence that PAs are converted to DAGs. (PMID: 12618218, 16185776).	C37H71O8P		None	None	None	15.043	14.382	14.381	14.752	14.908	14.195	15.473	15.542	14.548	14.267	14.977	15.11	14.834	14.29	13.952	15.916	13.872	15.002	14.555	14.025	14.466	15.092	14.457	14.336	14.921	14.679	15.348	14.089	14.499	14.829	15.215	15.589	14.422	13.944	13.716	14.699	14.325	14.317	14.055	
